         Planet Name  |   Pl. Mass  |     Pl. Period   |   Pl. Semi-axis  |   Pl. Ecc  |  Pl. Incl  |     Ang. Dist   |   St. Dist  |  St. Spec. Type  |  St. Mass  |  St. [Fe/H]  |  St. Right Asc.  |     St. Decli.   |  

            14 Her b  |      4.64   |         1773.4   |          2.77    |    0.369   |            |      0.153039   |      18.1   |         K0 V     |      0.9   |      0.43    |        16 10 23  |       +43 49 18  |  
          16 Cyg B b  |      1.68   |          799.5   |          1.68    |    0.689   |            |      0.078505   |      21.4   |       G2.5 V     |     0.99   |      0.08    |        19 41 51  |       +50 31 03  |  
            2M1207 b  |         5   |                  |            46    |            |            |      0.779661   |        59   |           M8     |    0.025   |              |        12 07 33  |       -39 32 54  |  
            47 Uma b  |       2.6   |         1083.2   |          2.11    |    0.049   |            |      0.158647   |      13.3   |          G0V     |     1.03   |      0.06    |        10 59 29  |       +40 25 46  |  
            47 Uma c  |      1.34   |           2594   |          7.73    |        0   |            |      0.581203   |      13.3   |          G0V     |     1.03   |      0.06    |        10 59 29  |       +40 25 46  |  
            51 Peg b  |     0.468   |        4.23077   |         0.052    |        0   |            |      0.003537   |      14.7   |        G2 IV     |     1.06   |      0.16    |        22 57 27  |       +20 46 07  |  
            55 Cnc b  |     0.784   |          14.67   |         0.115    |   0.0197   |            |      0.008582   |      13.4   |         G8 V     |     1.03   |      0.29    |        08 52 37  |       +28 20 02  |  
            55 Cnc c  |     0.217   |          43.93   |          0.24    |     0.44   |            |         0.018   |      13.4   |         G8 V     |     1.03   |      0.29    |        08 52 37  |       +28 20 02  |  
            55 Cnc d  |      3.92   |         4517.4   |         5.257    |    0.327   |            |         0.392   |      13.4   |         G8 V     |     1.03   |      0.29    |        08 52 37  |       +28 20 02  |  
            55 Cnc e  |     0.045   |           2.81   |         0.038    |    0.174   |            |         0.003   |      13.4   |         G8 V     |     1.03   |      0.29    |        08 52 37  |       +28 20 02  |  
            70 Vir b  |      7.44   |        116.689   |          0.48    |      0.4   |            |      0.021818   |        22   |         G4 V     |      1.1   |     -0.03    |        13 28 26  |       +13 47 12  |  
            AB Pic b  |      13.5   |                  |           275    |            |            |      6.030702   |      45.6   |         K2 V     |            |     -0.64    |        06 19 12  |       -58 03 15  |  
        BD-10 3166 b  |      0.48   |          3.488   |         0.046    |     0.07   |            |                 |             |         G4 V     |      1.1   |       0.5    |        10 58 28  |       -10 46 13  |  
   Epsilon Eridani b  |      1.55   |           2502   |          3.39    |    0.702   |    30.1    |      1.059375   |       3.2   |         K2 V     |     0.83   |      -0.1    |        03 32 55  |       -09 27 29  |  
      Gamma Cephei b  |      1.43   |         902.26   |          1.94    |      0.2   |            |      0.164407   |      11.8   |         K2 V     |     1.18   |         0    |        23 39 20  |       +77 37 56  |  
           GJ 3021 b  |      3.32   |         133.82   |          0.49    |    0.505   |            |      0.027809   |     17.62   |         G6 V     |      0.9   |       0.2    |        00 16 12  |       -79 51 04  |  
            GJ 436 b  |     0.067   |       2.644963   |        0.0278    |    0.207   |            |      0.002725   |      10.2   |         M2.5     |     0.41   |     -0.03    |        11 42 11  |       +26 42 23  |  
            Gj 849 b  |      0.82   |           1890   |          2.35    |     0.06   |            |      0.267045   |       8.8   |         M3.5     |     0.36   |              |        22 09 40  |       -04 38 27  |  
            Gl 581 b  |     0.056   |          5.366   |         0.041    |        0   |            |       0.00655   |      6.26   |           M3     |     0.31   |     -0.25    |        15 19 26  |       -07 43 20  |  
             Gl 86 b  |      4.01   |         15.766   |          0.11    |    0.046   |            |          0.01   |        11   |          K1V     |     0.79   |     -0.24    |        02 10 14  |       -50 50 00  |  
        Gliese 876 b  |     1.935   |          60.94   |       0.20783    |   0.0249   |      84    |      0.044032   |      4.72   |         M4 V     |     0.32   |      0.02    |        22 53 13  |       -14 15 13  |  
        Gliese 876 c  |      0.56   |           30.1   |          0.13    |     0.27   |      84    |      0.027542   |      4.72   |         M4 V     |     0.32   |      0.02    |        22 53 13  |       -14 15 13  |  
        Gliese 876 d  |     0.023   |        1.93776   |     0.0208067    |        0   |            |      0.004408   |      4.72   |         M4 V     |     0.32   |      0.02    |        22 53 13  |       -14 15 13  |  
            GQ Lup b  |      21.5   |                  |           103    |            |            |      0.735714   |       140   |         K7eV     |      0.7   |              |        15 49 12  |       -35 39 03  |  
          HAT--P-1 b  |      0.53   |        4.46529   |        0.0551    |     0.09   |    85.9    |      0.000396   |       139   |          GOV     |     1.12   |      0.13    |        22 57 47  |       +38 40 30  |  
         HD 101930 b  |       0.3   |          70.46   |         0.302    |     0.11   |            |          0.01   |     30.49   |         K1 V     |     0.74   |      0.17    |        11 43 30  |       -58 00 24  |  
         HD 102117 b  |      0.14   |          20.67   |         0.149    |     0.06   |            |      0.003548   |        42   |          G6V     |     0.95   |      0.18    |        11 44 50  |       -58 42 13  |  
         HD 102195 b  |     0.488   |        4.11434   |         0.049    |     0.06   |            |      0.001691   |     28.98   |          G8V     |    0.926   |     0.096    |        11 45 42  |       +02 49 17  |  
         HD 104985 b  |       6.3   |          198.2   |          0.78    |     0.03   |            |         0.008   |       102   |       G9 III     |      1.5   |     -0.35    |        12 05 15  |       +76 54 20  |  
         HD 106252 b  |      6.81   |           1500   |          2.61    |     0.54   |            |      0.069712   |     37.44   |           G0     |     1.05   |     -0.16    |        12 13 29  |       +10 02 29  |  
          HD 10647 b  |      0.91   |           1040   |           2.1    |     0.18   |            |         0.121   |      17.3   |          F8V     |     1.07   |     -0.03    |        01 42 29  |       -53 44 27  |  
          HD 10697 b  |      6.12   |       1077.906   |          2.13    |     0.11   |            |         0.071   |        30   |        G5 IV     |      1.1   |      0.15    |        01 44 55  |       +20 04 59  |  
         HD 107148 b  |      0.21   |         48.056   |         0.269    |     0.05   |            |      0.005244   |      51.3   |           G5     |     1.12   |     0.314    |        12 19 13  |       -03 19 11  |  
         HD 108147 b  |       0.4   |         10.901   |         0.104    |    0.498   |            |      0.002696   |     38.57   |      F8/G0 V     |     1.27   |       0.2    |        12 25 46  |       -64 01 19  |  
         HD 108874 b  |      1.36   |          395.4   |         1.051    |     0.07   |            |      0.015343   |      68.5   |           G5     |        1   |      0.14    |        12 30 26  |       +22 52 47  |  
         HD 108874 c  |     1.018   |         1605.8   |          2.68    |     0.25   |            |      0.039124   |      68.5   |           G5     |        1   |      0.14    |        12 30 26  |       +22 52 47  |  
         HD 109749 b  |      0.28   |           5.24   |        0.0635    |     0.01   |            |      0.001076   |        59   |        G3 IV     |      1.2   |      0.25    |        12 37 16  |       -40 48 43  |  
         HD 111232 b  |       6.8   |           1143   |          1.97    |      0.2   |            |         0.068   |        29   |          G8V     |     0.78   |     -0.36    |        12 48 51  |       -68 25 30  |  
         HD 114386 b  |      0.99   |            872   |          1.62    |     0.28   |            |         0.058   |        28   |         K3 V     |            |     -0.03    |        13 10 39  |       -35 03 17  |  
         HD 114729 b  |      0.82   |       1131.478   |          2.08    |     0.31   |            |         0.059   |        35   |         G3 V     |     0.93   |     -0.22    |        13 12 44  |       -31 52 24  |  
         HD 114762 b  |     11.02   |          83.89   |           0.3    |     0.34   |            |      0.010714   |        28   |          F9V     |     0.82   |      -0.5    |        13 12 19  |       +17 31 01  |  
         HD 114783 b  |      0.99   |            501   |           1.2    |      0.1   |            |         0.055   |        22   |           K0     |     0.92   |      0.33    |        13 12 43  |       -02 15 54  |  
         HD 117207 b  |      2.06   |        2627.08   |          3.78    |     0.16   |            |         0.115   |        33   |       G8VI/V     |     1.04   |      0.27    |        13 29 21  |       -35 34 15  |  
         HD 117618 b  |      0.19   |           52.2   |          0.28    |     0.39   |            |      0.007368   |        38   |          G2V     |     1.05   |      0.04    |        13 32 25  |       -47 16 16  |  
         HD 118203 b  |      2.13   |         6.1335   |          0.07    |    0.309   |            |       0.00079   |      88.6   |           K0     |     1.23   |       0.1    |        13 34 02  |       +53 43 42  |  
          HD 11964 b  |      0.11   |          37.82   |         0.229    |     0.15   |            |      0.006739   |     33.98   |           G5     |    1.125   |      0.17    |        01 57 09  |       -10 14 32  |  
          HD 11977 b  |      6.54   |            711   |          1.93    |      0.4   |            |      0.029023   |      66.5   |     G8.5 III     |     1.91   |     -0.21    |        01 54 56  |       -67 38 50  |  
         HD 121504 b  |      0.89   |           64.6   |          0.32    |     0.13   |            |         0.007   |     44.37   |         G2 V     |        1   |      0.16    |        13 57 17  |       -56 02 24  |  
         HD 122430 b  |      3.71   |         344.95   |          1.02    |     0.68   |            |      0.007556   |       135   |        K3III     |            |              |        14 02 22  |       -27 25 47  |  
          HD 12661 b  |       2.3   |          263.6   |          0.83    |     0.35   |            |         0.022   |     37.16   |         G6 V     |     1.07   |     0.293    |        02 04 34  |       +25 24 51  |  
          HD 12661 c  |      1.57   |         1444.5   |          2.56    |      0.2   |            |         0.069   |     37.16   |         G6 V     |     1.07   |     0.293    |        02 04 34  |       +25 24 51  |  
         HD 128311 b  |      2.18   |          448.6   |         1.099    |     0.25   |            |      0.066205   |      16.6   |           K0     |      0.8   |      0.08    |        14 36 00  |       +09 44 47  |  
         HD 128311 c  |      3.21   |            919   |          1.76    |     0.17   |            |      0.106024   |      16.6   |           K0     |      0.8   |      0.08    |        14 36 00  |       +09 44 47  |  
         HD 130322 b  |      1.08   |         10.724   |         0.088    |    0.048   |            |         0.003   |        30   |         K0 V     |     0.79   |     -0.02    |        14 47 32  |       -00 16 53  |  
          HD 13189 b  |        14   |          471.6   |          1.85    |     0.28   |            |          0.01   |       185   |        K2 II     |      4.5   |              |        02 09 40  |       +32 18 59  |  
         HD 134987 b  |      1.58   |            260   |          0.78    |     0.24   |            |         0.031   |        25   |         G5 V     |     1.05   |      0.23    |        15 13 28  |       -25 18 33  |  
         HD 136118 b  |      11.9   |           1209   |           2.3    |     0.37   |            |         0.044   |      52.3   |         F9 V     |     1.24   |    -0.065    |        15 18 55  |       -01 35 32  |  
         HD 141937 b  |       9.7   |         653.22   |          1.52    |     0.41   |            |         0.045   |     33.46   |      G2/G3 V     |        1   |      0.16    |        15 52 17  |       -18 26 09  |  
            HD 142 b  |         1   |        337.112   |          0.98    |     0.38   |            |         0.048   |      20.6   |        G1 IV     |      1.1   |      0.04    |        00 06 19  |       -49 04 30  |  
       HD 142022 A b  |       4.4   |           1923   |           2.8    |     0.57   |            |         0.078   |     35.87   |         K0 V     |     0.99   |      0.19    |        16 10 15  |       -84 13 53  |  
         HD 142415 b  |      1.62   |          386.3   |          1.05    |      0.5   |            |         0.031   |      34.2   |         G1 V     |     1.03   |      0.21    |        15 57 40  |       -60 12 00  |  
         HD 147513 b  |         1   |          540.4   |          1.26    |     0.52   |            |         0.098   |      12.9   |       G3/G5V     |     0.92   |     -0.03    |        16 24 01  |       -39 11 34  |  
         HD 149026 b  |      0.36   |         2.8766   |         0.042    |        0   |    85.3    |      0.000532   |      78.9   |        G0 IV     |      1.3   |      0.36    |        16 30 29  |       +38 20 50  |  
         HD 149143 b  |      1.33   |          4.072   |         0.053    |    0.016   |            |      0.000841   |        63   |        G0 IV     |     1.21   |      0.26    |        16 32 51  |       +02 05 05  |  
         HD 150706 b  |         1   |            264   |          0.82    |     0.38   |            |          0.03   |      27.2   |           G0     |     0.94   |     -0.13    |        16 31 17  |       +79 47 23  |  
         HD 154857 b  |       1.8   |          398.5   |          1.11    |     0.51   |            |         0.016   |      68.5   |          G5V     |     1.17   |     -0.23    |        17 11 15  |       -56 40 50  |  
         HD 160691 b  |      1.67   |          654.5   |           1.5    |     0.31   |            |      0.098039   |      15.3   |      G3 IV-V     |     1.08   |      0.28    |        17 44 08  |       -51 50 02  |  
         HD 160691 c  |       3.1   |           2986   |          4.17    |     0.57   |            |      0.272549   |      15.3   |      G3 IV-V     |     1.08   |      0.28    |        17 44 08  |       -51 50 02  |  
         HD 160691 d  |     0.044   |           9.55   |          0.09    |        0   |            |      0.005882   |      15.3   |      G3 IV-V     |     1.08   |      0.28    |        17 44 08  |       -51 50 02  |  
         HD 160691 e  |     0.522   |         310.55   |         0.921    |   0.0666   |            |      0.060196   |      15.3   |      G3 IV-V     |     1.08   |      0.28    |        17 44 08  |       -51 50 02  |  
          HD 16141 b  |      0.23   |          75.56   |          0.35    |     0.21   |            |          0.01   |      35.9   |        G5 IV     |        1   |      0.22    |        02 35 19  |       -03 33 38  |  
         HD 162020 b  |     13.75   |       8.428198   |         0.072    |    0.277   |            |         0.002   |     31.26   |         K2 V     |      0.7   |      0.01    |        17 50 38  |       -40 19 06  |  
         HD 164922 b  |      0.36   |           1155   |          2.11    |     0.05   |            |      0.096215   |     21.93   |          K0V     |     0.94   |      0.17    |        18 02 30  |       +26 18 46  |  
         HD 168443 b  |      7.48   |        58.1112   |          0.29    |     0.53   |            |      0.008788   |        33   |           G5     |     0.96   |       0.1    |        18 20 04  |       -09 35 34  |  
         HD 168443 c  |     16.87   |         1765.8   |          2.84    |    0.222   |            |      0.086061   |        33   |           G5     |     0.96   |       0.1    |        18 20 04  |       -09 35 34  |  
         HD 168746 b  |      0.23   |          6.403   |         0.065    |    0.081   |            |         0.002   |     43.12   |           G5     |     0.92   |     -0.07    |        18 21 49  |       -11 55 21  |  
         HD 169830 b  |      2.88   |         225.62   |          0.81    |     0.31   |            |      0.022302   |     36.32   |         F8 V     |      1.4   |      0.21    |        18 27 49  |       -29 49 00  |  
         HD 169830 c  |      4.04   |           2102   |           3.6    |     0.33   |            |      0.099119   |     36.32   |         F8 V     |      1.4   |      0.21    |        18 27 49  |       -29 49 00  |  
         HD 177830 b  |      1.28   |            391   |             1    |     0.43   |            |         0.017   |        59   |           K0     |     1.17   |         0    |        19 05 20  |       +25 55 14  |  
       HD 178911 B b  |     6.292   |         71.487   |          0.32    |   0.1243   |            |         0.007   |     46.73   |           G5     |     0.87   |      0.28    |        19 09 03  |       +34 35 59  |  
         HD 179949 b  |      0.95   |         3.0925   |         0.045    |    0.022   |            |      0.001667   |        27   |         F8 V     |     1.28   |      0.22    |        19 15 33  |       -24 10 45  |  
         HD 183263 b  |      3.69   |         634.23   |          1.52    |     0.38   |            |      0.028679   |        53   |         G2IV     |     1.17   |       0.3    |        19 28 24  |       +08 21 28  |  
         HD 185269 b  |      0.94   |          6.838   |         0.077    |      0.3   |            |      0.001638   |        47   |         G0IV     |     1.28   |      0.11    |        19 37 12  |       +28 30 00  |  
         HD 187085 b  |      0.75   |            986   |          2.05    |     0.47   |            |      0.045576   |     44.98   |         G0 V     |     1.22   |      0.05    |        19 49 33  |       -37 46 50  |  
         HD 187123 b  |      0.52   |          3.097   |         0.042    |     0.03   |            |       0.00084   |        50   |           G5     |     1.06   |      0.16    |        19 46 57  |       +34 25 15  |  
         HD 188015 b  |      1.26   |         456.46   |          1.19    |     0.15   |            |         0.023   |      52.6   |         G5IV     |     1.08   |      0.29    |        19 52 04  |       +28 06 01  |  
        HD 188753A b  |      1.14   |         3.3481   |        0.0446    |        0   |            |      0.000995   |     44.82   |           K0     |     1.06   |              |        19 54 58  |       +41 52 17  |  
