         Planet Name  |  dalpha/dt*cos(delta)   ddelta/dt
                         (mas/yr)     (mas/yr)
            14 Her b  |  132.52 -298.38
          16 Cyg B b  |  -135.15 -163.53
            2M1207 b  |   0.     0.
            47 Uma b  |  -315.92 55.15
            47 Uma c  |   -315.92 55.15
            51 Peg b  |  208.07 60.96
            55 Cnc b  |  -485.46  -234.40
            55 Cnc c  |  -485.46  -234.40
            55 Cnc d  |  -485.46  -234.40
            55 Cnc e  |  -485.46  -234.40
            70 Vir b  |  -234.81 -576.19
            AB Pic b  |   14.13  45.21
        BD-10 3166 b  |  -183.00 -4.80 
   Epsilon Eridani b  |  -976.36 17.98
      Gamma Cephei b  |  -48.85 127.19
           GJ 3021 b  |  433.88 -57.91
            GJ 436 b  |  896.34   -813.70 
            Gj 849 b  |  1134.93  -19.71
            Gl 581 b  |  -1224.55 -99.51
             Gl 86 b  |  2092.59 654.49
        Gliese 876 b  |  960.31   -675.61
        Gliese 876 c  |   960.31   -675.61
        Gliese 876 d  |  960.31   -675.61
            GQ Lup b  |  -27.     -14.
          HAT--P-1 b  |  29.3  -51.0
         HD 101930 b  |  15.00 347.49
         HD 102117 b  |  -63.05 -69.87
         HD 102195 b  |  -190.32 -111.44
         HD 104985 b  |   147.22 -92.36
         HD 106252 b  |  23.77 -279.41
          HD 10647 b  |  166.97 -106.71
          HD 10697 b  |  -45.05 -105.39
         HD 107148 b  |  -54.51 -47.66
         HD 108147 b  |  -181.60 -60.80
         HD 108874 b  |  129.16 -89.40
         HD 108874 c  |   129.16 -89.40
         HD 109749 b  |  -157.89 -5.48 
         HD 111232 b  |  27.82 112.81
         HD 114386 b  |  -138.23 -325.10
         HD 114729 b  |  -202.11 -308.49
         HD 114762 b  |  -582.68 -1.98
         HD 114783 b  |  -138.13 9.62
         HD 117207 b  |  -204.99 -71.73
         HD 117618 b  |  25.04 -124.63 
         HD 118203 b  | -87.84 -78.43
          HD 11964 b  |  -368.41 -243.15 
          HD 11977 b  |  76.00 73.17
         HD 121504 b  |  -250.55 -84.02
         HD 122430 b  |  -32.38 -4.12
          HD 12661 b  |  -107.81 -175.26
          HD 12661 c  |  -107.81 -175.26
         HD 128311 b  |  205.46 -249.68 
         HD 128311 c  |  205.46 -249.68 
         HD 130322 b  |  -129.60 -140.79
          HD 13189 b  |  1.38 5.83 
         HD 134987 b  |  -399.01 -75.10
         HD 136118 b  |  -124.05 23.50
         HD 141937 b  |  97.12 24.00
            HD 142 b  |  575.21 -39.92
       HD 142022 A b  |  -337.60 -31.10 
         HD 142415 b  |  -113.96 -102.35 
         HD 147513 b  |  72.64 3.41 
         HD 149026 b  |  -77.12  53.34
         HD 149143 b  |  -10.06 -85.03
         HD 150706 b  |  95.83 -87.97
         HD 154857 b  |  87.19 -55.37 
         HD 160691 b  |   -15.06 -191.17
         HD 160691 c  |   -15.06 -191.17
         HD 160691 d  |  -15.06 -191.17 
         HD 160691 e  |  -15.06 -191.17
          HD 16141 b  |  -156.89 -437.07 
         HD 162020 b  |  20.99 -25.20
         HD 164922 b  |  389.77  -602.44
         HD 168443 b  |  -92.15 -224.16
         HD 168443 c  |  -92.15 -224.16
         HD 168746 b  |  -22.13 -69.23
         HD 169830 b  |  -0.84 15.16
         HD 169830 c  |  -0.84 15.16
         HD 177830 b  |  -40.68 -51.84
       HD 178911 B b  |  64.77 192.41
         HD 179949 b  |  114.78 -101.81
         HD 183263 b  |  -17.78 -33.14
         HD 185269 b  |  -32.13 -80.81
         HD 187085 b  |  8.26 -104.02
         HD 187123 b  |  143.13 -123.23
         HD 188015 b  |  53.89 -91.03
        HD 188753A b  |  -52.76 284.44
         HD 189733 b  |  -2.49  -250.81
         HD 190228 b  |  104.91 -69.85
         HD 190360 b  |  683.35 -524.10
         HD 190360 c  |  683.35 -524.10
         HD 192263 b  |  -63.37 262.26
         HD 195019 b  |  349.49 -56.85
         HD 196050 b  |  -190.97 -64.27
         HD 196885 b  |  47.44 83.05 
          HD 19994 b  |  193.43 -69.23
         HD 202206 b  |  -38.23 -119.77 
         HD 202206 c  |   -38.23 -119.77 
          HD 20367 b  |  -103.09 -56.65
           HD 2039 b  |  78.53 15.23 
          HD 20782 b  |  348.88 -64.82
         HD 208487 b  | 101.45 -117.99 
         HD 209458 b  |  28.90 -18.37
         HD 210277 b  |  85.48 -449.83
         HD 212301 b  |  76.11  -91.64
         HD 213240 b  |  -135.16 -194.06
         HD 216435 b  |  216.70 -81.49
         HD 216437 b  |  -43.19 73.20
         HD 216770 b  |  228.60 -178.18 
         HD 217107 b  |  -6.05 -16.03 
         HD 217107 c  |   -6.05 -16.03 
         HD 219449 b  |  368.56 -17.02
         HD 222582 b  |  -145.41 -111.10
         HD 224693 b  |  148.74 27.53
          HD 23079 b  | -193.62 -91.92
          HD 23596 b  |  53.56 21.06 
           HD 2638 b  |  -107.08 -224.06 
          HD 27442 b  |  -47.99 -167.81
          HD 27894 b  |  182.25 272.33
          HD 28185 b  |  80.85 -60.29
          HD 30177 b  |  66.12 -12.01
         HD 330075 b  |  -235.58 -94.14
          HD 33283 b  |  55.61 -46.25 
          HD 33564 b  |  -78.60 161.13
          HD 33636 b  |  180.83 -137.32
          HD 34445 b  |  -3.74 -148.69
           HD 3651 b  |  -461.09 -370.90 
          HD 37124 b  |  -79.75 -419.96 
          HD 37124 c  |   -79.75 -419.96
          HD 37124 d  |   -79.75 -419.96
          HD 37605 b  |  54.70 -245.76
          HD 38529 b  |  -80.05 -141.79 
          HD 38529 c  |   -80.05 -141.79 
          HD 39091 b  |  311.88 1050.20
          HD 40979 b  |  95.05 -152.23 
        HD 41004 A b  |  -42.27 65.16
        HD 41004 B b  |  -42.27 65.16
           HD 4203 b  |  125.25 -123.99
           HD 4208 b  |  313.51 150.00
           HD 4308 b  |  157.92 -742.32
          HD 45350 b  |  -43.80 -53.45
          HD 46375 b  |  114.24 -96.79
          HD 47536 b  |  108.96 64.13
          HD 49674 b  |  34.96 -122.85
          HD 50499 b  |  -69.02 68.52
          HD 50554 b  |  -37.29 -96.36
          HD 52265 b  |  -115.76 80.35 
          HD 59686 b  |  42.65 -75.39 
          HD 62509 b  |  -625.69 -45.96 
          HD 63454 b  |  -20.65  -39.69
           HD 6434 b  |  -168.97 -527.70
          HD 65216 b  |  -122.12 145.90 
          HD 66428 b  |  -68.85  -207.70
          HD 68988 b  |  128.33 31.73 
          HD 69830 b  |  279.29 -988.99 
          HD 69830 c  |  279.29 -988.99
          HD 69830 d  |  279.29 -988.99
          HD 70642 b  |  -202.07 225.59
          HD 72659 b  |  -113.75 -98.30
          HD 73256 b  |  -180.58  65.71
