# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:29:13
#
# REQUEST = -objectName HD 101930 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.12 -band K -minMagRange 1 -maxMagRange 20 -ra 11:43:30 -dec -58: 0:24 -baseMax 100 -wlen 0.5 -file HD 101930.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	11432830-5759417	11 43 28.37	-57 59 42.0	J114328.3-575941	175.868055	-57.995028	0	0	-	-	-	-	-	-	0	0	0	AAA	3.69	294.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.360	15.869	-	-	14.630	-	14.650	14.224	13.042	12.304	12.160	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.031	12.296	12.184	-	-	-	0.021	0.021	0.023	0.038	-	0.026	-	-	-	0.002	0.002	0.002	0.007	-	0.005	NOK	0.000	-	-	12.184	12.296	13.031	14.224	14.630	15.869	16.360	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	11433390-5800566	11 43 33.80	-58 00 56.8	J114333.2-580057	175.891096	-58.015845	0	0	-	-	-	-	-	-	0	0	0	AAA	3.68	294.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.700	19.202	-	-	15.670	-	16.430	17.836	15.272	14.669	14.548	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.270	14.662	14.572	-	-	-	0.012	0.009	0.007	0.009	-	0.009	-	-	-	0.001	0.001	0.001	0.002	-	0.002	NOK	0.000	-	-	14.572	14.662	15.270	17.836	15.670	19.202	18.700	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	11433532-5800496	11 43 35.40	-58 00 49.2	J114335.3-580049	175.897374	-58.013689	0	0	-	-	-	-	-	-	0	0	-	AAA	3.68	294.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.730	16.014	-	-	14.320	-	14.820	15.114	14.488	14.022	13.966	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.496	14.017	13.990	-	-	-	0.007	0.007	0.008	0.009	-	0.008	-	-	-	0.001	0.001	0.001	0.002	-	0.002	OK	0.000	-	-	13.990	14.017	14.496	15.114	14.320	16.014	15.730	1.000	0.000	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	11433606-5800115	11 43 36.13	-58 00 12.0	J114336.0-580011	175.900294	-58.003387	0	0	-	-	-	-	-	-	0	0	-	AAA	3.69	294.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.270	16.672	-	-	15.310	-	15.340	15.717	15.066	14.503	14.508	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.072	14.499	14.532	-	-	-	0.006	0.006	0.006	0.009	-	0.007	-	-	-	0.000	0.000	0.001	0.002	-	0.001	NOK	0.000	-	-	14.532	14.499	15.072	15.717	15.310	16.672	16.270	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	11433364-5759372	11 43 33.67	-57 59 37.5	J114333.6-575937	175.890128	-57.993784	0	0	-	-	-	-	-	-	0	0	0	AAA	3.70	294.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.100	16.187	-	-	14.730	-	14.780	14.566	13.426	12.728	12.561	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.416	12.720	12.585	-	-	-	0.017	0.018	0.019	0.028	-	0.021	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.585	12.720	13.416	14.566	14.730	16.187	17.100	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	11433363-5801107	11 43 33.69	-58 01 10.6	J114333.6-580110	175.890168	-58.019653	0	0	-	-	-	-	-	-	0	0	0	AAA	3.67	294.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.990	15.677	-	-	14.590	-	14.900	14.802	14.144	13.759	13.642	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.153	13.752	13.666	-	-	-	0.009	0.009	0.009	0.009	-	0.009	-	-	-	0.001	0.001	0.001	0.002	-	0.002	OK	0.000	-	-	13.666	13.752	14.153	14.802	14.590	15.677	15.990	1.000	0.000	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	11432438-5759502	11 43 24.53	-57 59 50.1	J114324.3-575950	175.852464	-57.997250	0	0	-	-	-	-	-	-	4	0	0	AAA	3.69	294.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.620	-	-	-	14.860	-	12.440	11.460	8.095	7.115	6.525	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.048	7.096	6.549	-	-	-	0.334	0.386	0.448	0.756	-	0.481	-	-	-	0.024	0.027	0.043	0.131	-	0.096	NOK	0.000	-	-	6.549	7.096	8.048	11.460	14.860	-	16.620	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	11432922-5759280	11 43 29.26	-57 59 28.6	J114329.2-575928	175.871670	-57.991334	0	0	-	-	-	-	-	-	0	0	0	AAA	3.70	294.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.970	17.759	-	-	14.430	-	14.020	14.393	13.214	12.557	12.295	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.201	12.546	12.319	-	-	-	0.020	0.020	0.022	0.027	-	0.022	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.319	12.546	13.201	14.393	14.430	17.759	15.970	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	11433701-5800131	11 43 37.15	-58 00 11.3	J114337.0-580013	175.904787	-58.003245	0	0	-	-	-	-	-	-	0	0	0	AAA	3.69	294.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.780	16.160	-	-	12.070	-	11.230	14.685	13.888	13.280	13.124	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.884	13.272	13.148	-	-	-	0.011	0.012	0.014	0.017	-	0.014	-	-	-	0.001	0.001	0.001	0.003	-	0.003	NOK	0.000	-	-	13.148	13.272	13.884	14.685	12.070	16.160	13.780	-	-	-	-	-	-	-	0.016	
