# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-10-31T14:05:55
#
# REQUEST = -objectName HD 108147 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.06 -band K -minMagRange 1 -maxMagRange 14 -ra 12:25:46 -dec -64: 1:19 -baseMax 100 -wlen 1 -file HD 108147.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	12254126-6400463	12 25 41.29	-64 00 46.0	J122541.2-640045	186.422062	-64.012625	0	0	-	-	-	-	-	-	0	0	0	AAA	-1.28	300.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.690	-	-	-	15.770	-	16.060	16.101	14.221	13.248	12.915	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.188	13.236	12.939	-	-	-	0.017	0.018	0.021	0.045	-	0.025	-	-	-	0.001	0.001	0.002	0.008	-	0.005	NOK	0.000	-	-	12.939	13.236	14.188	16.101	15.770	-	17.690	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	12254535-6402063	12 25 45.38	-64 02 06.3	J122545.4-640206	186.439067	-64.035070	0	0	-	-	-	-	-	-	0	0	0	AAA	-1.30	300.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.850	16.612	-	-	15.110	-	-	15.464	14.539	13.988	13.898	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.541	13.982	13.922	-	-	-	0.009	0.008	0.009	0.011	-	0.009	-	-	-	0.001	0.001	0.001	0.002	-	0.002	OK	0.000	-	-	13.922	13.982	14.541	15.464	15.110	16.612	15.850	1.000	0.000	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	12254370-6400313	12 25 43.79	-64 00 32.6	J122543.7-640032	186.432269	-64.009012	0	0	-	-	-	-	-	-	0	0	0	AAA	-1.28	300.12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.160	-	-	-	15.410	-	-	16.253	14.747	13.844	13.475	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.716	13.831	13.499	-	-	-	0.012	0.013	0.016	0.028	-	0.017	-	-	-	0.001	0.001	0.002	0.005	-	0.003	NOK	0.000	-	-	13.499	13.831	14.716	16.253	15.410	-	16.160	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	12254013-6400463	12 25 40.12	-64 00 45.9	J122539.7-640042	186.417317	-64.012859	0	0	-	-	-	-	-	-	0	0	0	AAA	-1.28	300.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.530	16.632	-	-	14.910	-	14.660	15.679	14.313	13.801	13.756	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.319	13.796	13.780	-	-	-	0.013	0.010	0.009	0.011	-	0.011	-	-	-	0.001	0.001	0.001	0.002	-	0.002	NOK	0.000	-	-	13.780	13.796	14.319	15.679	14.910	16.632	16.530	-	-	-	-	-	-	-	0.014	
-	-	-	8983	434	1	T	12254963-6400320	12 25 49.63	-64 00 32.1	J122549.6-640032	186.456885	-64.008909	-6.11	-12.59	-	-	-	U	-	-	4	4	0	AAA	-1.28	300.13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10.560	10.520	9.360	-	-	9.350	-	-	9.038	7.140	6.617	6.393	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.136	6.607	6.417	-	-	-	0.430	0.343	0.306	0.302	-	0.345	-	-	-	0.031	0.024	0.030	0.052	-	0.069	NOK	0.000	-	-	6.417	6.607	7.136	9.038	9.350	9.360	10.520	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	12255337-6401369	12 25 53.68	-64 01 36.0	J122554.0-640132	186.473568	-64.026659	0	0	-	-	-	-	-	-	0	0	0	AAA	-1.29	300.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.890	14.577	-	-	11.150	-	10.600	14.170	11.388	11.299	11.206	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.414	11.293	11.230	-	-	-	0.070	0.039	0.021	0.021	-	0.038	-	-	-	0.005	0.003	0.002	0.004	-	0.008	NOK	0.000	-	-	11.230	11.293	11.414	14.170	11.150	14.577	11.890	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	12255403-6401037	12 25 54.07	-64 01 03.4	J122554.0-640103	186.475106	-64.017728	24	16	-	-	-	-	-	-	0	0	0	AAA	-1.28	300.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.960	17.077	-	-	14.440	-	14.660	14.183	12.658	11.944	11.750	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.646	11.935	11.774	-	-	-	0.030	0.028	0.029	0.042	-	0.032	-	-	-	0.002	0.002	0.003	0.007	-	0.006	NOK	0.000	-	-	11.774	11.935	12.646	14.183	14.440	17.077	15.960	-	-	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	12255241-6401574	12 25 52.89	-64 01 59.6	J122552.9-640159	186.470384	-64.033195	0	0	-	-	-	-	-	-	0	0	0	AAA	-1.30	300.14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.050	18.658	-	-	13.830	-	14.300	14.061	14.796	14.074	13.609	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.769	14.058	13.633	-	-	-	0.005	0.007	0.014	0.016	-	0.010	-	-	-	0.000	0.000	0.001	0.003	-	0.002	NOK	0.000	-	-	13.633	14.058	14.769	14.061	13.830	18.658	15.050	-	-	-	-	-	-	-	0.017	
-	-	-	-	-	-	U	12253704-6401097	12 25 37.03	-64 01 10.9	J122537.0-640110	186.404660	-64.019714	12	-32	-	-	-	-	-	-	0	0	-	AAA	-1.29	300.11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.030	17.689	-	-	15.380	-	-	16.214	14.748	14.228	13.984	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.744	14.218	14.008	-	-	-	0.011	0.010	0.009	0.009	-	0.010	-	-	-	0.001	0.001	0.001	0.002	-	0.002	OK	0.000	-	-	14.008	14.218	14.744	16.214	15.380	17.689	17.030	1.000	0.000	-	-	-	-	-	0.017	
