# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-10-31T14:10:08
#
# REQUEST = -objectName HD 142415 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.05 -band K -minMagRange 1 -maxMagRange 14 -ra 15:57:40 -dec -60:12: 0 -baseMax 100 -wlen 1 -file HD 142415.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	15573690-6011334	15 57 36.94	-60 11 33.0	J155736.9-601133	239.403846	-60.192534	0	0	-	-	-	-	-	-	0	0	-	AAA	-5.24	324.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.140	16.716	-	-	15.080	-	14.530	15.141	14.161	13.578	13.328	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.153	13.568	13.352	-	-	-	0.011	0.012	0.013	0.014	-	0.013	-	-	-	0.001	0.001	0.001	0.002	-	0.003	OK	0.000	-	-	13.352	13.568	14.153	15.141	15.080	16.716	16.140	1.000	0.000	-	-	-	-	-	0.010	
-	-	-	-	-	-	U	15574185-6012379	15 57 41.83	-60 12 38.0	J155741.8-601237	239.424099	-60.210662	0	0	-	-	-	-	-	-	0	0	0	AAA	-5.26	324.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.000	17.094	-	-	14.810	-	14.510	15.701	14.395	13.799	13.663	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.392	13.792	13.687	-	-	-	0.012	0.011	0.011	0.013	-	0.012	-	-	-	0.001	0.001	0.001	0.002	-	0.002	OK	0.000	-	-	13.687	13.792	14.392	15.701	14.810	17.094	17.000	1.000	0.000	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	15573514-6012207	15 57 35.14	-60 12 19.9	J155735.1-601220	239.396325	-60.205506	0	0	-	-	-	-	-	-	0	0	0	AAA	-5.25	324.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.250	15.158	-	-	13.860	-	13.340	13.846	12.864	12.311	12.154	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.862	12.303	12.178	-	-	-	0.020	0.020	0.021	0.023	-	0.021	-	-	-	0.001	0.001	0.002	0.004	-	0.004	OK	0.000	-	-	12.178	12.303	12.862	13.846	13.860	15.158	15.250	1.000	0.000	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	15573729-6011193	15 57 37.38	-60 11 18.6	J155737.2-601119	239.405437	-60.188623	20	36	-	-	-	-	-	-	0	0	0	AAA	-5.24	324.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.540	15.537	-	-	14.340	-	13.480	14.167	13.029	12.480	12.304	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.027	12.472	12.328	-	-	-	0.021	0.019	0.020	0.022	-	0.020	-	-	-	0.001	0.001	0.002	0.004	-	0.004	OK	0.000	-	-	12.328	12.472	13.027	14.167	14.340	15.537	15.540	1.000	0.000	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	15573769-6012425	15 57 37.87	-60 12 43.8	J155737.6-601242	-	-	0	0	-	-	-	-	-	-	0	0	0	AAA	-5.26	324.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.230	15.499	-	-	13.210	-	12.730	14.141	13.115	12.478	12.393	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.113	12.472	12.417	-	-	-	0.019	0.018	0.019	0.027	-	0.021	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.417	12.472	13.113	14.141	13.210	15.499	14.230	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	15573325-6011485	15 57 33.50	-60 11 47.1	J155733.9-601145	239.390888	-60.196117	52	84	-	-	-	-	-	-	0	0	-	AAA	-5.24	324.17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.750	18.216	-	-	14.250	-	14.070	16.774	14.154	13.505	13.409	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.151	13.499	13.433	-	-	-	0.019	0.015	0.012	0.017	-	0.016	-	-	-	0.001	0.001	0.001	0.003	-	0.003	NOK	0.000	-	-	13.433	13.499	14.151	16.774	14.250	18.216	15.750	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	15574612-6012302	15 57 46.11	-60 12 29.9	J155746.0-601230	239.442189	-60.208395	0	0	-	-	-	-	-	-	0	0	0	AAA	-5.27	324.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.670	20.076	-	-	15.500	-	15.230	15.623	14.257	13.585	13.253	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.240	13.573	13.277	-	-	-	0.013	0.014	0.015	0.017	-	0.015	-	-	-	0.001	0.001	0.001	0.003	-	0.003	OK	0.000	-	-	13.277	13.573	14.240	15.623	15.500	20.076	16.670	1.000	0.000	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	15574321-6011088	15 57 43.27	-60 11 08.8	J155743.2-601108	239.430289	-60.185809	0	0	-	-	-	-	-	-	0	0	0	AAA	-5.25	324.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.840	14.489	-	-	13.800	-	13.290	13.745	13.090	12.790	12.687	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.105	12.783	12.711	-	-	-	0.014	0.013	0.013	0.013	-	0.013	-	-	-	0.001	0.001	0.001	0.002	-	0.003	OK	0.000	-	-	12.711	12.783	13.105	13.745	13.800	14.489	14.840	1.000	0.000	-	-	-	-	-	0.016	
-	-	-	-	-	-	U	15573329-6012280	15 57 33.30	-60 12 26.9	J155733.2-601227	239.388839	-60.207406	-12	-12	-	-	-	-	-	-	0	0	0	AAA	-5.25	324.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.460	14.310	-	-	13.570	-	12.940	13.514	12.849	12.533	12.404	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.861	12.526	12.428	-	-	-	0.016	0.015	0.016	0.014	-	0.015	-	-	-	0.001	0.001	0.002	0.002	-	0.003	OK	0.000	-	-	12.428	12.526	12.861	13.514	13.570	14.310	14.460	1.000	0.000	-	-	-	-	-	0.016	
