# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:31:05
#
# REQUEST = -objectName HD 185269 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.03 -band K -minMagRange 1 -maxMagRange 20 -ra 19:37:12 -dec 28:30: 0 -baseMax 100 -wlen 0.5 -file HD 185269.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	19371472+2830195	19 37 14.65	+28 30 19.3	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	3.57	63.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.000	22.269	-	-	14.950	-	12.520	17.804	15.322	14.491	14.302	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.304	14.482	14.326	-	-	-	-	-	0.009	0.018	0.026	0.018	-	-	-	-	-	0.001	0.003	0.003	0.004	NOK	0.000	-	-	14.326	14.482	15.304	17.804	14.950	22.269	15.000	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	19371501+2829309	19 37 14.93	+28 29 31.9	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	3.57	63.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.820	14.684	-	-	13.400	-	12.360	13.307	12.426	11.843	11.698	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.423	11.835	11.722	-	-	-	-	-	0.026	0.031	0.041	0.033	-	-	-	-	-	0.003	0.005	0.004	0.007	NOK	0.000	-	-	11.722	11.835	12.423	13.307	13.400	14.684	13.820	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	19371000+2830399	19 37 10.13	+28 30 42.7	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	3.59	63.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.700	15.882	-	-	13.660	-	10.890	14.554	13.683	13.150	12.969	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.681	13.141	12.993	-	-	-	-	-	0.014	0.015	0.020	0.016	-	-	-	-	-	0.001	0.003	0.002	0.003	OK	0.000	-	-	12.993	13.141	13.681	14.554	13.660	15.882	13.700	1.000	0.000	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	19371539+2830209	19 37 15.42	+28 30 21.3	-	-	-	-4	10	-	-	-	-	-	-	-	-	-	AAA	3.57	63.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.900	15.065	-	-	13.890	-	13.480	13.459	12.514	11.836	11.660	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.505	11.828	11.684	-	-	-	-	-	0.029	0.040	0.054	0.041	-	-	-	-	-	0.003	0.007	0.005	0.008	NOK	0.000	-	-	11.684	11.828	12.505	13.459	13.890	15.065	15.900	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	19371566+2829438	19 37 15.67	+28 29 45.0	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	3.57	63.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.300	-	-	-	13.210	-	10.990	-	9.637	8.590	8.227	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.598	8.577	8.251	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	8.251	8.577	9.598	-	13.210	-	15.300	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	19370817+2830133	19 37 08.27	+28 30 13.3	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	3.59	63.27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.510	19.494	-	-	14.140	-	13.420	15.474	13.313	12.572	12.357	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.298	12.563	12.381	-	-	-	-	-	0.022	0.033	0.047	0.034	-	-	-	-	-	0.002	0.006	0.005	0.007	NOK	0.000	-	-	12.381	12.563	13.298	15.474	14.140	19.494	16.510	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	19370826+2829375	19 37 08.32	+28 29 37.8	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	3.59	63.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.920	16.198	-	-	14.790	-	14.900	15.309	14.695	14.373	14.183	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.704	14.364	14.207	-	-	-	-	-	0.007	0.006	0.007	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.207	14.364	14.704	15.309	14.790	16.198	15.920	1.000	0.000	-	-	-	-	-	0.015	
-	-	-	-	-	-	U	19371157+2830592	19 37 11.64	+28 30 58.0	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	3.59	63.29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.380	16.972	-	-	14.150	-	13.920	15.122	14.083	13.359	13.188	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.072	13.351	13.212	-	-	-	-	-	0.015	0.022	0.031	0.023	-	-	-	-	-	0.001	0.004	0.003	0.005	NOK	0.000	-	-	13.212	13.351	14.072	15.122	14.150	16.972	15.380	-	-	-	-	-	-	-	0.016	
-	-	-	-	-	-	-	-	19 37 10.21	+28 30 57.4	-	-	-	-242	-156	-	-	-	-	-	-	-	-	-	-	3.59	63.28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.680	-	-	-	16.380	-	15.970	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	-	-	-	-	16.380	-	17.680	-	-	-	-	-	-	-	0.017	
