# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:40:20
#
# REQUEST = -objectName HD 188015 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.04 -band K -minMagRange 1 -maxMagRange 20 -ra 19:52: 4 -dec 28: 6: 1 -baseMax 100 -wlen 0.5 -file HD 188015.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	19520141+2805560	19 52 01.34	+28 05 59.1	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	0.55	64.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.040	17.007	-	-	13.690	-	13.010	15.869	15.086	14.576	14.450	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.088	14.569	14.474	-	-	-	-	-	0.007	0.008	0.010	0.008	-	-	-	-	-	0.001	0.001	0.001	0.002	OK	0.000	-	-	14.474	14.569	15.088	15.869	13.690	17.007	15.040	1.000	0.000	-	-	-	-	-	0.010	
-	-	-	-	-	-	U	19520343+2806378	19 52 03.49	+28 06 38.1	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	0.55	64.57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.380	16.803	-	-	14.600	-	15.190	15.725	14.985	14.539	14.381	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.989	14.531	14.405	-	-	-	-	-	0.007	0.007	0.008	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.405	14.531	14.989	15.725	14.600	16.803	16.380	1.000	0.000	-	-	-	-	-	0.010	
-	-	-	-	-	-	-	-	19 52 01.52	+28 06 20.8	-	-	-	0	0	-	-	-	-	-	-	-	-	-	-	0.56	64.56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.320	-	-	-	16.210	-	16.240	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	-	-	-	-	16.210	-	18.320	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	19520105+2805473	19 52 01.09	+28 05 47.8	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	0.55	64.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.050	15.544	-	-	14.960	-	14.950	14.643	14.022	13.620	13.499	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.030	13.613	13.523	-	-	-	-	-	0.010	0.010	0.012	0.010	-	-	-	-	-	0.001	0.002	0.001	0.002	OK	0.000	-	-	13.523	13.613	14.030	14.643	14.960	15.544	16.050	1.000	0.000	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	19520425+2806421	19 52 04.28	+28 06 42.7	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	0.55	64.57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.750	-	-	-	13.910	-	13.870	-	13.719	12.829	12.506	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.691	12.817	12.530	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	12.530	12.817	13.691	-	13.910	-	17.750	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	19520722+2806024	19 52 07.22	+28 06 03.4	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	0.54	64.57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.260	16.465	-	-	14.750	-	14.970	15.373	14.622	14.184	14.011	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.626	14.176	14.035	-	-	-	-	-	0.008	0.008	0.010	0.009	-	-	-	-	-	0.001	0.001	0.001	0.002	OK	0.000	-	-	14.035	14.176	14.626	15.373	14.750	16.465	16.260	1.000	0.000	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	19520323+2805181	19 52 03.24	+28 05 18.3	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	0.54	64.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.540	21.160	-	-	15.350	-	15.180	16.561	13.551	12.672	12.361	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.524	12.660	12.385	-	-	-	-	-	0.025	0.046	0.068	0.047	-	-	-	-	-	0.002	0.008	0.007	0.009	NOK	0.000	-	-	12.385	12.660	13.524	16.561	15.350	21.160	17.540	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	19520231+2805211	19 52 02.18	+28 05 22.6	-	-	-	8	-24	-	-	-	-	-	-	-	-	-	AAA	0.54	64.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.400	17.943	-	-	16.260	-	15.740	16.413	15.492	14.848	14.689	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.485	14.840	14.713	-	-	-	-	-	0.007	0.009	0.012	0.009	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	14.713	14.840	15.485	16.413	16.260	17.943	18.400	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	19520507+2805164	19 52 05.12	+28 05 16.7	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	0.54	64.55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.420	16.293	-	-	15.110	-	14.780	15.374	14.743	14.344	14.206	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.751	14.337	14.230	-	-	-	-	-	0.007	0.007	0.008	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.230	14.337	14.751	15.374	15.110	16.293	16.420	1.000	0.000	-	-	-	-	-	0.013	
