# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:44:23
#
# REQUEST = -objectName OGLE-05-169L -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.00 -band K -minMagRange 1 -maxMagRange 20 -ra 18: 6: 5 -dec -30:43:57 -baseMax 100 -wlen 0.5 -file OGLE-05-169L.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	18060742-3043393	18 06 07.51	-30 43 40.3	J180607.6-304341	-	-	-4	-26	-	-	-	-	-	-	1000	1000	-	AAA	-4.74	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.130	19.565	-	-	15.720	-	14.810	15.863	14.725	13.926	13.799	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.712	13.919	13.823	-	-	-	0.010	0.010	0.011	0.021	-	0.013	-	-	-	0.001	0.001	0.001	0.004	-	0.003	NOK	0.000	-	-	13.823	13.919	14.712	15.863	15.720	19.565	15.130	-	-	-	-	-	-	-	0.010	
-	-	-	-	-	-	U	18060255-3043375	18 06 02.50	-30 43 37.2	J180602.5-304337	271.510584	-30.727150	6	-18	-	-	-	-	-	-	1000	1000	1000	AAA	-4.73	0.68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.570	20.244	-	-	17.530	-	16.450	15.785	14.376	13.500	13.363	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.358	13.493	13.387	-	-	-	0.013	0.013	0.014	0.031	-	0.018	-	-	-	0.001	0.001	0.001	0.005	-	0.004	NOK	0.000	-	-	13.387	13.493	14.358	15.785	17.530	20.244	17.570	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	18060540-3043199	18 06 05.43	-30 43 18.5	J180605.3-304319	271.522734	-30.721978	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.74	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.830	19.403	-	-	15.490	-	12.660	14.899	13.475	12.672	12.405	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.454	12.661	12.429	-	-	-	0.020	0.021	0.023	0.038	-	0.025	-	-	-	0.001	0.001	0.002	0.007	-	0.005	NOK	0.000	-	-	12.429	12.661	13.454	14.899	15.490	19.403	15.830	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	18060758-3044183	18 06 07.54	-30 44 18.1	J180607.5-304418	271.531262	-30.738342	0	0	-	-	-	-	-	-	1000	1000	0	AAA	-4.75	0.68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.130	15.964	-	-	15.550	-	14.800	14.918	14.177	13.756	13.586	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.182	13.748	13.610	-	-	-	0.009	0.009	0.010	0.009	-	0.009	-	-	-	0.001	0.001	0.001	0.002	-	0.002	OK	0.000	-	-	13.610	13.748	14.182	14.918	15.550	15.964	17.130	1.000	0.000	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	18060399-3043187	18 06 04.04	-30 43 16.2	J180604.0-304314	271.516623	-30.720967	0	0	-	-	-	-	-	-	1000	1000	-	AAA	-4.73	0.68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.240	19.319	-	-	15.830	-	13.810	15.479	14.330	13.619	13.393	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.316	13.609	13.417	-	-	-	0.012	0.012	0.014	0.019	-	0.014	-	-	-	0.001	0.001	0.001	0.003	-	0.003	NOK	0.000	-	-	13.417	13.609	14.316	15.479	15.830	19.319	15.240	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	18060871-3044168	18 06 08.22	-30 44 10.4	J180608.2-304409	271.534153	-30.736298	0	0	-	-	-	-	-	-	1000	1000	0	AAA	-4.75	0.68	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.150	19.827	-	-	14.610	-	13.470	15.577	13.926	13.164	12.946	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.910	13.155	12.970	-	-	-	0.018	0.017	0.017	0.027	-	0.020	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.970	13.155	13.910	15.577	14.610	19.827	18.150	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	18060111-3043460	18 06 01.72	-30 43 36.7	J180601.6-304336	271.506707	-30.726898	-18	48	-	-	-	-	-	-	1000	1000	-	AAA	-4.72	0.67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.920	19.039	-	-	16.020	-	15.390	16.239	13.614	12.950	12.708	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.602	12.940	12.732	-	-	-	0.025	0.021	0.018	0.023	-	0.022	-	-	-	0.002	0.001	0.002	0.004	-	0.004	OK	0.000	-	-	12.732	12.940	13.602	16.239	16.020	19.039	17.920	0.999	0.000	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	18060159-3044097	18 06 01.58	-30 44 09.2	J180601.5-304409	271.506631	-30.735975	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.73	0.67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.010	19.264	-	-	15.650	-	14.860	14.751	13.281	12.468	12.200	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.260	12.457	12.224	-	-	-	0.022	0.023	0.026	0.043	-	0.028	-	-	-	0.002	0.002	0.002	0.007	-	0.006	NOK	0.000	-	-	12.224	12.457	13.260	14.751	15.650	19.264	16.010	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	18060785-3043257	18 06 07.87	-30 43 23.6	J180607.8-304319	271.532681	-30.723400	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-4.74	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.850	18.426	-	-	14.770	-	13.360	14.356	13.601	12.853	12.640	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.586	12.844	12.664	-	-	-	0.012	0.016	0.020	0.030	-	0.019	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.664	12.844	13.586	14.356	14.770	18.426	14.850	-	-	-	-	-	-	-	0.014	
