# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:48:26
#
# REQUEST = -objectName OGLE-05-390L -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.00 -band K -minMagRange 1 -maxMagRange 20 -ra 17:54:19 -dec -30:22:38 -baseMax 100 -wlen 0.5 -file OGLE-05-390L.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	17541618-3022402	17 54 16.21	-30 22 39.8	J175416.1-302239	268.567370	-30.377889	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-2.35	359.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.560	-	-	-	17.690	-	14.980	13.856	12.124	11.147	10.741	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.087	11.133	10.765	-	-	-	0.042	0.050	0.059	0.118	-	0.067	-	-	-	0.003	0.004	0.006	0.020	-	0.013	NOK	0.000	-	-	10.765	11.133	12.087	13.856	17.690	-	14.560	-	-	-	-	-	-	-	0.010	
-	-	-	-	-	-	U	17542187-3022550	17 54 21.64	-30 22 53.0	-	-	-	36	-98	-	-	-	-	-	-	-	-	-	AAA	-2.37	359.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.110	21.819	-	-	17.620	-	17.440	17.228	14.251	13.347	13.072	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.225	13.336	13.096	-	-	-	-	-	0.018	0.036	0.054	0.036	-	-	-	-	-	0.002	0.006	0.005	0.007	NOK	0.000	-	-	13.096	13.336	14.225	17.228	17.620	21.819	17.110	-	-	-	-	-	-	-	0.010	
-	-	-	-	-	-	U	17541657-3022143	17 54 16.60	-30 22 14.4	J175416.5-302213	268.568485	-30.370800	-2	96	-	-	-	-	-	-	1000	1000	1000	AAA	-2.35	359.73	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.090	13.702	-	-	17.240	-	14.450	12.256	11.143	10.519	10.396	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.139	10.512	10.420	-	-	-	0.049	0.046	0.048	0.064	-	0.052	-	-	-	0.003	0.003	0.005	0.011	-	0.010	NOK	0.000	-	-	10.420	10.512	11.139	12.256	17.240	13.702	16.090	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	17542209-3022406	17 54 22.11	-30 22 40.5	J175422.0-302240	268.592223	-30.377981	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-2.37	359.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.520	-	-	-	18.940	-	16.710	15.739	13.373	12.327	12.058	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.339	12.316	12.082	-	-	-	0.028	0.029	0.031	0.082	-	0.042	-	-	-	0.002	0.002	0.003	0.014	-	0.008	NOK	0.000	-	-	12.082	12.316	13.339	15.739	18.940	-	18.520	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	-	-	17 54 16.02	-30 22 52.3	-	-	-	0	0	-	-	-	-	-	-	-	-	-	-	-2.35	359.72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.800	-	-	-	14.880	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	-	-	-	-	14.880	-	15.800	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	17542220-3022246	17 54 22.17	-30 22 24.8	J175422.1-302224	268.592387	-30.373450	-16	-2	-	-	-	-	-	-	1000	1000	1000	AAA	-2.37	359.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.830	18.774	-	-	16.580	-	17.030	14.231	12.333	11.490	11.215	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.310	11.479	11.239	-	-	-	0.040	0.039	0.041	0.072	-	0.048	-	-	-	0.003	0.003	0.004	0.013	-	0.010	NOK	0.000	-	-	11.239	11.479	12.310	14.231	16.580	18.774	17.830	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	17541796-3023201	17 54 17.93	-30 23 21.5	J175417.9-302319	-	-	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-2.36	359.72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.130	-	-	-	11.000	-	13.430	13.555	12.118	11.181	10.878	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.088	11.169	10.902	-	-	-	0.038	0.044	0.051	0.106	-	0.060	-	-	-	0.003	0.003	0.005	0.018	-	0.012	NOK	0.000	-	-	10.902	11.169	12.088	13.555	11.000	-	15.130	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	17541688-3022026	17 54 16.89	-30 22 01.2	J175416.8-302202	-	-	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-2.35	359.74	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.470	-	-	-	16.220	-	14.880	13.786	11.310	10.188	9.777	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.265	10.174	9.801	-	-	-	0.073	0.084	0.098	0.259	-	0.129	-	-	-	0.005	0.006	0.010	0.045	-	0.026	NOK	0.000	-	-	9.801	10.174	11.265	13.786	16.220	-	18.470	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	17541991-3023232	17 54 19.93	-30 23 22.8	J175419.8-302322	268.582988	-30.389762	8	4	-	-	-	-	-	-	1000	1000	1000	AAA	-2.37	359.72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.070	16.878	-	-	13.950	-	14.270	12.386	10.885	10.082	9.830	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10.865	10.072	9.854	-	-	-	0.068	0.069	0.075	0.124	-	0.084	-	-	-	0.005	0.005	0.007	0.021	-	0.017	NOK	0.000	-	-	9.854	10.072	10.865	12.386	13.950	16.878	16.070	-	-	-	-	-	-	-	0.013	
