# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:34:21
#
# REQUEST = -objectName OGLE-TR-111 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.00 -band K -minMagRange 1 -maxMagRange 20 -ra 10:53: 1 -dec -61:24:20 -baseMax 100 -wlen 0.5 -file OGLE-TR-111.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	10530369-6124133	10 53 03.70	-61 24 12.8	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.72	289.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.120	15.705	-	-	14.120	-	13.920	14.960	14.450	14.135	14.046	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.465	14.129	14.070	-	-	-	-	-	0.007	0.007	0.008	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.070	14.129	14.465	14.960	14.120	15.705	15.120	1.000	0.000	-	-	-	-	-	0.006	
-	-	-	-	-	-	U	10525851-6124372	10 52 58.32	-61 24 37.5	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.73	289.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.310	15.091	-	-	14.010	-	13.130	14.427	13.971	13.652	13.633	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.989	13.648	13.657	-	-	-	-	-	0.008	0.009	0.010	0.009	-	-	-	-	-	0.001	0.001	0.001	0.002	OK	0.000	-	-	13.657	13.648	13.989	14.427	14.010	15.091	13.310	1.000	0.000	-	-	-	-	-	0.007	
-	-	-	-	-	-	U	10525653-6124179	10 52 56.52	-61 24 17.1	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.72	289.24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.760	17.244	-	-	14.840	-	14.290	15.751	14.841	14.275	14.064	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.836	14.266	14.088	-	-	-	-	-	0.009	0.010	0.013	0.011	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	14.088	14.266	14.836	15.751	14.840	17.244	15.760	-	-	-	-	-	-	-	0.009	
-	-	-	-	-	-	-	-	10 52 55.80	-61 24 08.1	-	-	-	0	0	-	-	-	-	-	-	-	-	-	-	-1.72	289.24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.580	-	-	-	14.120	-	13.990	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	-	-	-	-	14.120	-	16.580	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	10530272-6125006	10 53 02.74	-61 25 01.6	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.73	289.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.630	-	-	-	17.900	-	15.690	-	14.296	13.302	12.982	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.262	13.290	13.006	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	13.006	13.290	14.262	-	17.900	-	17.630	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	10530022-6125068	10 53 00.22	-61 25 06.9	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.73	289.25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.950	21.788	-	-	15.800	-	15.540	17.229	14.380	13.498	13.242	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.356	13.488	13.266	-	-	-	-	-	0.016	0.032	0.047	0.032	-	-	-	-	-	0.002	0.005	0.005	0.006	NOK	0.000	-	-	13.266	13.488	14.356	17.229	15.800	21.788	16.950	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	10525482-6124375	10 52 54.86	-61 24 38.8	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.73	289.24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.760	12.948	-	-	11.880	-	12.050	12.681	12.535	12.547	12.461	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.567	12.541	12.485	-	-	-	-	-	0.010	0.010	0.010	0.010	-	-	-	-	-	0.001	0.002	0.001	0.002	OK	0.000	-	-	12.485	12.541	12.567	12.681	11.880	12.948	12.760	1.000	0.000	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	10530390-6125032	10 53 03.90	-61 25 03.5	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.73	289.26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.930	21.048	-	-	15.330	-	14.710	16.469	13.542	12.632	12.378	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.516	12.622	12.402	-	-	-	-	-	0.025	0.051	0.077	0.051	-	-	-	-	-	0.002	0.009	0.007	0.010	NOK	0.000	-	-	12.402	12.622	13.516	16.469	15.330	21.048	16.930	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	10530185-6123319	10 53 01.88	-61 23 32.2	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-1.71	289.24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.690	15.675	-	-	14.720	-	14.190	14.779	14.160	13.680	13.642	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.169	13.675	13.666	-	-	-	-	-	0.009	0.011	0.014	0.011	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	13.666	13.675	14.169	14.779	14.720	15.675	15.690	-	-	-	-	-	-	-	0.013	
