# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:45:49
#
# REQUEST = -objectName OGLE-TR-132 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.00 -band K -minMagRange 1 -maxMagRange 20 -ra 10:50:34 -dec -61:57:25 -baseMax 100 -wlen 0.5 -file OGLE-TR-132.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	10503738-6157074	10 50 37.49	-61 57 07.5	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.34	289.24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.480	15.725	-	-	14.500	-	14.520	14.835	14.220	13.738	13.707	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.229	13.733	13.731	-	-	-	-	-	0.009	0.011	0.013	0.011	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	13.731	13.733	14.229	14.835	14.500	15.725	15.480	-	-	-	-	-	-	-	0.008	
-	-	-	-	-	-	U	10503091-6157572	10 50 31.00	-61 57 57.3	-	-	-	-46	12	-	-	-	-	-	-	-	-	-	AAA	-2.35	289.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.690	12.885	-	-	11.360	-	11.030	11.596	10.732	10.124	10.029	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10.731	10.118	10.053	-	-	-	-	-	0.056	0.074	0.098	0.076	-	-	-	-	-	0.005	0.013	0.009	0.015	NOK	0.000	-	-	10.053	10.118	10.731	11.596	11.360	12.885	12.690	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	10502843-6157160	10 50 28.46	-61 57 14.9	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.35	289.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.650	20.407	-	-	14.500	-	14.250	16.197	13.920	13.206	12.944	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.904	13.195	12.968	-	-	-	-	-	0.017	0.023	0.032	0.024	-	-	-	-	-	0.002	0.004	0.003	0.005	NOK	0.000	-	-	12.968	13.195	13.904	16.197	14.500	20.407	15.650	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	10503480-6156443	10 50 34.71	-61 56 45.0	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.33	289.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.940	16.958	-	-	15.270	-	15.570	15.793	14.988	14.404	14.336	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.989	14.398	14.360	-	-	-	-	-	0.007	0.010	0.013	0.010	-	-	-	-	-	0.001	0.002	0.001	0.002	NOK	0.000	-	-	14.360	14.398	14.989	15.793	15.270	16.958	15.940	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	10503310-6156420	10 50 33.19	-61 56 41.3	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.33	289.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.350	15.926	-	-	14.730	-	14.890	15.286	14.867	14.638	14.542	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.886	14.632	14.566	-	-	-	-	-	0.005	0.005	0.006	0.005	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	14.566	14.632	14.886	15.286	14.730	15.926	15.350	1.000	0.000	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	10503154-6156437	10 50 31.23	-61 56 43.2	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.34	289.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.990	22.119	-	-	13.840	-	13.950	17.633	15.069	14.391	14.023	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.050	14.378	14.047	-	-	-	-	-	0.011	0.012	0.017	0.013	-	-	-	-	-	0.001	0.002	0.002	0.003	NOK	0.000	-	-	14.047	14.378	15.050	17.633	13.840	22.119	14.990	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	10502909-6157553	10 50 29.18	-61 57 56.4	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.36	289.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.220	14.437	-	-	13.580	-	13.420	14.033	13.725	13.679	13.546	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.752	13.672	13.570	-	-	-	-	-	0.007	0.007	0.007	0.007	-	-	-	-	-	0.001	0.001	0.001	0.001	OK	0.000	-	-	13.570	13.672	13.752	14.033	13.580	14.437	14.220	1.000	0.000	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	10503602-6156406	10 50 35.91	-61 56 38.8	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.33	289.23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.500	21.508	-	-	14.400	-	14.890	17.027	14.483	13.759	13.443	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.464	13.747	13.467	-	-	-	-	-	0.014	0.018	0.026	0.019	-	-	-	-	-	0.001	0.003	0.002	0.004	NOK	0.000	-	-	13.467	13.747	14.464	17.027	14.400	21.508	15.500	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	10502755-6157128	10 50 27.12	-61 57 11.1	-	-	-	0	0	-	-	-	-	-	-	-	-	-	AAA	-2.35	289.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.470	20.658	-	-	12.930	-	12.640	16.206	13.773	12.965	12.769	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.756	12.956	12.793	-	-	-	-	-	0.019	0.034	0.049	0.034	-	-	-	-	-	0.002	0.006	0.005	0.007	NOK	0.000	-	-	12.793	12.956	13.756	16.206	12.930	20.658	14.470	-	-	-	-	-	-	-	0.014	
