# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-10-31T14:12:56
#
# REQUEST = -objectName OGLE-TR-56 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.00 -band K -minMagRange 1 -maxMagRange 14 -ra 17:56:35 -dec -29:32:21 -baseMax 100 -wlen 1 -file OGLE-TR-56.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	17563566-2932560	17 56 35.44	-29 32 59.2	J175635.6-293255	269.148295	-29.549012	0	0	-	-	-	-	-	-	1000	1000	-	AAA	-2.37	0.70	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16.010	19.677	-	-	14.970	-	15.410	15.143	13.792	13.085	12.684	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.769	13.071	12.708	-	-	-	0.017	0.018	0.021	0.024	-	0.020	-	-	-	0.001	0.001	0.002	0.004	-	0.004	OK	0.000	-	-	12.708	13.071	13.769	15.143	14.970	19.677	16.010	1.000	0.000	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	17563248-2932471	17 56 32.49	-29 32 47.5	J175632.4-293246	269.134984	-29.546295	-18	112	-	-	-	-	-	-	1000	1000	1000	AAA	-2.36	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.400	-	-	-	15.280	-	16.370	14.052	12.299	11.314	10.993	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.266	11.302	11.017	-	-	-	0.039	0.044	0.050	0.112	-	0.061	-	-	-	0.003	0.003	0.005	0.019	-	0.012	NOK	0.000	-	-	11.017	11.302	12.266	14.052	15.280	-	15.400	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	17563175-2932048	17 56 31.89	-29 32 04.6	J175631.7-293204	269.132528	-29.534684	208	-198	-	-	-	-	-	-	1000	1000	1000	AAA	-2.35	0.70	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.590	-	-	-	13.570	-	16.330	13.737	12.012	11.094	10.757	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.981	11.082	10.781	-	-	-	0.044	0.048	0.055	0.105	-	0.063	-	-	-	0.003	0.003	0.005	0.018	-	0.013	NOK	0.000	-	-	10.781	11.082	11.981	13.737	13.570	-	14.590	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	17563366-2931410	17 56 33.50	-29 31 38.9	J175633.6-293140	-	-	54	-60	-	-	-	-	-	-	1000	1000	1000	AAA	-2.35	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.440	-	-	-	16.820	-	17.670	15.079	13.306	12.398	12.022	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.274	12.385	12.046	-	-	-	0.025	0.027	0.031	0.056	-	0.035	-	-	-	0.002	0.002	0.003	0.010	-	0.007	NOK	0.000	-	-	12.046	12.385	13.274	15.079	16.820	-	17.440	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	-	-	17 56 35.07	-29 33 09.4	J175635.1-293310	269.145981	-29.552575	0	0	-	-	-	-	-	-	1000	1000	1000	-	-2.37	0.69	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.960	18.534	-	-	14.420	-	14.950	14.056	12.295	-	11.259	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.276	11.668	11.283	-	-	-	0.039	0.037	0.039	0.036	-	0.038	-	-	-	0.003	0.003	0.004	0.006	-	0.008	OK	0.000	-	-	11.283	11.668	12.276	14.056	14.420	18.534	13.960	0.999	0.000	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	17563258-2931475	17 56 32.57	-29 31 46.4	J175632.5-293147	269.135615	-29.529550	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-2.35	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.120	-	-	-	14.030	-	15.030	12.658	11.012	10.068	9.768	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10.982	10.056	9.792	-	-	-	0.068	0.075	0.086	0.181	-	0.102	-	-	-	0.005	0.005	0.008	0.031	-	0.020	NOK	0.000	-	-	9.792	10.056	10.982	12.658	14.030	-	17.120	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	17563633-2933054	17 56 36.35	-29 33 08.2	J175636.2-293305	269.151369	-29.551381	770	442	-	-	-	-	-	-	1000	1000	1000	AAA	-2.37	0.70	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.510	19.697	-	-	18.080	-	25.030	15.189	13.658	12.846	12.584	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.637	12.835	12.608	-	-	-	0.019	0.020	0.021	0.036	-	0.024	-	-	-	0.001	0.001	0.002	0.006	-	0.005	NOK	0.000	-	-	12.608	12.835	13.637	15.189	18.080	19.697	17.510	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	17563829-2931586	17 56 38.48	-29 31 57.3	J175638.6-293156	-	-	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-2.37	0.72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14.680	19.005	-	-	14.430	-	13.510	14.513	12.288	11.460	11.234	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.268	11.450	11.258	-	-	-	0.044	0.040	0.039	0.071	-	0.049	-	-	-	0.003	0.003	0.004	0.012	-	0.010	NOK	0.000	-	-	11.258	11.450	12.268	14.513	14.430	19.005	14.680	-	-	-	-	-	-	-	0.014	
-	-	-	-	-	-	U	17563557-2931394	17 56 35.20	-29 31 31.4	J175635.0-293132	269.146370	-29.525339	0	0	-	-	-	-	-	-	1004	1000	1000	AAA	-2.36	0.71	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15.750	16.371	-	-	16.000	-	12.750	11.810	13.039	12.226	11.898	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.015	12.214	11.922	-	-	-	0.030	0.014	0.030	0.047	-	0.030	-	-	-	0.002	0.001	0.003	0.008	-	0.006	NOK	0.000	-	-	11.922	12.214	13.015	11.810	16.000	16.371	15.750	-	-	-	-	-	-	-	0.014	
