# JMMC - Calibrator group
#
# This file has been created by Search Calibrators Software
#		Version : 3.3.5b
#		Date    : 2006-11-06T13:35:55
#
# REQUEST = -objectName OGLE235-MOA53 -mag 0.00 -diffRa 1800 -diffDec 600 -radius 1.00 -band K -minMagRange 1 -maxMagRange 20 -ra 18: 5:16 -dec -28:53:42 -baseMax 100 -wlen 0.5 -file OGLE235-MOA53.csv -bright false -visErr 1 
# FORMAT = STANDARD
ID_HD	ID_HIP	ID_DM	ID_TYC1	ID_TYC2	ID_TYC3	ID_CATALOG	ID_2MASS	POS_EQ_RA_MAIN	POS_EQ_DEC_MAIN	ID_DENIS	POS_EQ_RA_OTHER	POS_EQ_DEC_OTHER	POS_EQ_PMDEC	POS_EQ_PMRA	POS_PARLX_TRIG	SPECT_TYPE_MK	CODE_VARIAB_V1	CODE_VARIAB_V2	VAR_CLASS	CODE_MULT_FLAG	CODE_MISC_I	CODE_MISC_J	CODE_MISC_K	CODE_QUALITY	POS_GAL_LAT	POS_GAL_LON	VELOC_HC	LD_DIAM	LD_DIAM_ERROR	UD_DIAM	UD_DIAM_ERROR	UDDK_DIAM	UDDK_DIAM_ERROR	DIAM12	DIAM12_ERROR	REDUCT_METHOD	INST_WAVELENGTH_VALUE	INST_FILTER_CODE	PHOT_FLUX_IR_MISC	UNITS	PHOT_JHN_B	PHOT_PHG_B	PHOT_JHN_V	PHOT_PHG_V	PHOT_JHN_R	PHOT_PHG_R	PHOT_JHN_I	PHOT_PHG_I	PHOT_COUS_I	PHOT_JHN_J	PHOT_JHN_H	PHOT_JHN_K	PHOT_JHN_L	PHOT_JHN_M	PHOT_JHN_N	VELOC_ROTAT	PHOT_COLOR_EXCESS	IR_FLUX_ORIGIN	POS_PARLX_TRIG_ERROR	PHOT_FLUX_IR_12	PHOT_FLUX_IR_12_ERROR	REF_STAR	PHYS_TEMP_EFFEC	PHYS_TEMP_EFFEC_ERROR	PHOT_EXTINCTION_TOTAL	CHI2_QUALITY	SP_TYP_PHYS_TEMP_EFFEC	PHOT_COUS_J	PHOT_COUS_H	PHOT_COUS_K	DIAM_BV	DIAM_VR	DIAM_VK	DIAM_IJ	DIAM_IK	DIAM_JK	DIAM_JH	DIAM_HK	DIAM_MEAN	DIAM_BV_ERROR	DIAM_VR_ERROR	DIAM_VK_ERROR	DIAM_IJ_ERROR	DIAM_IK_ERROR	DIAM_JK_ERROR	DIAM_JH_ERROR	DIAM_HK_ERROR	DIAM_MEAN_ERROR	DIAM_FLAG	EXTINCTION_RATIO	MO	LO	KO	HO	JO	IO	RO	VO	BO	VIS2	VIS2_ERROR	VIS2_8	VIS2_8_ERROR	VIS2_13	VIS2_13_ERROR	VIS2_FLAG	DIST	
HD	HIP	DM	TYC1	TYC2	TYC3	opt	2MASS	RAJ2000	DEJ2000	DENIS	A2RAdeg	A2DEdeg	pmDec	pmRa	plx	SpType	VarFlag1	VarFlag2	VarFlag3	MultFlag	Iflag	Jflag	Kflag	Qflag	GLAT	GLON	RadVel	LD	e_LD	UD	e_UD	UDDK	e_UDDK	Dia12	e_dia12	Meth	lambda	lambda	photflux	units	B	Bphg	V	Vphg	R	Rphg	I	Iphg	Icous	J	H	K	L	M	N	RotVel	color	orig	e_Plx	F12	e_F12	Calib	Teff	e_Teff	A_V	Chi2	SpTyp_Teff	Jcous	Hcous	Kcous	diam_bv	diam_vr	diam_vk	diam_ij	diam_ik	diam_jk	diam_jh	diam_hk	diam_mean	e_diam_bv	e_diam_vr	e_diam_vk	e_diam_ij	e_diam_ik	e_diam_jk	e_diam_jh	e_diam_hk	e_diam_mean	diamFlag	Av	Mo	Lo	Ko	Ho	Jo	Io	Ro	Vo	Bo	vis2	vis2Err	vis2(8mu)	vis2Err(8mu)	vis2(13mu)	vis2Err(13mu)	vis2Flag	dist	
-	-	-	-	-	-	U	18051862-2853467	18 05 18.69	-28 53 47.0	J180518.6-285346	271.328048	-28.896417	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-3.70	2.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19.440	18.063	-	-	16.310	-	14.370	13.506	11.912	11.034	10.776	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11.888	11.024	10.800	-	-	-	0.044	0.046	0.051	0.098	-	0.060	-	-	-	0.003	0.003	0.005	0.017	-	0.012	NOK	0.000	-	-	10.800	11.024	11.888	13.506	16.310	18.063	19.440	-	-	-	-	-	-	-	0.010	
-	-	-	-	-	-	U	18051735-2854204	18 05 17.42	-28 54 18.0	J180517.3-285420	-	-	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-3.70	2.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21.110	18.888	-	-	15.980	-	13.690	14.838	13.548	12.803	12.589	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.533	12.794	12.613	-	-	-	0.018	0.018	0.020	0.030	-	0.022	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	12.613	12.794	13.533	14.838	15.980	18.888	21.110	-	-	-	-	-	-	-	0.011	
-	-	-	-	-	-	U	18051330-2854038	18 05 13.31	-28 54 03.7	J180513.3-285404	-	-	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-3.69	2.19	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.310	16.509	-	-	15.250	-	-	14.942	13.849	13.208	13.021	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.841	13.199	13.045	-	-	-	0.014	0.014	0.015	0.019	-	0.016	-	-	-	0.001	0.001	0.001	0.003	-	0.003	NOK	0.000	-	-	13.045	13.199	13.841	14.942	15.250	16.509	17.310	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	18051917-2853358	18 05 19.20	-28 53 33.1	J180519.1-285335	-	-	0	0	-	-	-	-	-	-	1000	1000	-	AAA	-3.70	2.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17.250	16.581	-	-	14.450	-	15.130	14.965	13.817	13.124	12.955	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.807	13.116	12.979	-	-	-	0.015	0.015	0.016	0.023	-	0.017	-	-	-	0.001	0.001	0.002	0.004	-	0.003	NOK	0.000	-	-	12.979	13.116	13.807	14.965	14.450	16.581	17.250	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	18051298-2853270	18 05 12.93	-28 53 29.9	J180512.9-285327	271.304434	-28.890950	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-3.68	2.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23.080	19.265	-	-	16.900	-	15.230	14.716	13.076	12.211	11.949	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.052	12.200	11.973	-	-	-	0.026	0.027	0.029	0.055	-	0.034	-	-	-	0.002	0.002	0.003	0.010	-	0.007	NOK	0.000	-	-	11.973	12.200	13.052	14.716	16.900	19.265	23.080	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	18051854-2853133	18 05 18.54	-28 53 13.6	J180518.5-285313	-	-	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-3.70	2.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19.660	17.911	-	-	16.500	-	14.620	14.545	13.200	12.546	12.281	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.187	12.535	12.305	-	-	-	0.022	0.021	0.023	0.027	-	0.023	-	-	-	0.002	0.002	0.002	0.005	-	0.005	OK	0.000	-	-	12.305	12.535	13.187	14.545	16.500	17.911	19.660	0.999	0.000	-	-	-	-	-	0.012	
-	-	-	-	-	-	U	18051588-2852575	18 05 15.88	-28 52 57.1	J180515.8-285257	271.316031	-28.882434	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-3.69	2.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	50.000	19.703	-	-	18.580	-	17.150	15.533	13.977	13.182	13.005	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.961	13.174	13.029	-	-	-	0.017	0.016	0.017	0.029	-	0.020	-	-	-	0.001	0.001	0.002	0.005	-	0.004	NOK	0.000	-	-	13.029	13.174	13.961	15.533	18.580	19.703	50.000	-	-	-	-	-	-	-	0.012	
-	-	-	-	-	-	-	-	18 05 15.13	-28 52 55.9	-	-	-	-22	-32	-	-	-	-	-	-	-	-	-	-	-3.68	2.21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20.490	-	-	-	17.720	-	15.470	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.000	-	-	-	-	-	-	17.720	-	20.490	-	-	-	-	-	-	-	0.013	
-	-	-	-	-	-	U	18051932-2854025	18 05 19.22	-28 54 03.1	J180519.3-285402	271.330025	-28.901000	0	0	-	-	-	-	-	-	1000	1000	1000	AAA	-3.71	2.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.770	19.059	-	-	16.400	-	14.130	14.513	13.026	12.235	11.904	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13.003	12.223	11.928	-	-	-	0.025	0.027	0.030	0.044	-	0.032	-	-	-	0.002	0.002	0.003	0.008	-	0.006	NOK	0.000	-	-	11.928	12.223	13.003	14.513	16.400	19.059	18.770	-	-	-	-	-	-	-	0.013	
